legacy_id,sale_legacy_id,customer_legacy_id,folio,sale_reference,issue_date,due_date,credit_days_applied,total,paid_amount,balance,notes
credit-note:1,sale:1,2,MIG-JM-CRED-1,MIG-JM-VENTA-1,2025-07-08,2025-07-23,15,230,230,0,Venta origen: 1 | Usuario origen: ALONDRA2025 | Credito abonado origen: 230 | Status origen: 0
credit-note:23,sale:23,10,MIG-JM-CRED-23,MIG-JM-VENTA-23,2025-07-31,2025-08-15,15,72,72,0,Venta origen: 23 | Usuario origen: ALEXA2025 | Credito abonado origen: 72 | Status origen: 1
credit-note:24,sale:24,11,MIG-JM-CRED-24,MIG-JM-VENTA-24,2025-07-31,2025-08-15,15,2750,2750,0,Venta origen: 24 | Usuario origen: ALONDRA2025 | Credito abonado origen: 2750 | Status origen: 1
credit-note:25,sale:25,11,MIG-JM-CRED-25,MIG-JM-VENTA-25,2025-07-31,2025-08-15,15,230,230,0,Venta origen: 25 | Usuario origen: ALONDRA2025 | Credito abonado origen: 230 | Status origen: 1
credit-note:26,sale:26,8,MIG-JM-CRED-26,MIG-JM-VENTA-26,2025-08-01,2025-08-16,15,7000,7000,0,Venta origen: 26 | Usuario origen: ALONDRA2025 | Credito abonado origen: 7000 | Status origen: 1
credit-note:27,sale:27,8,MIG-JM-CRED-27,MIG-JM-VENTA-27,2025-08-01,2025-08-16,15,283,283,0,Venta origen: 27 | Usuario origen: ALONDRA2025 | Credito abonado origen: 283 | Status origen: 1
credit-note:28,sale:28,10,MIG-JM-CRED-28,MIG-JM-VENTA-28,2025-08-01,2025-08-16,15,7,7,0,Venta origen: 28 | Usuario origen: ALEXA2025 | Credito abonado origen: 7 | Status origen: 1
credit-note:29,sale:29,3,MIG-JM-CRED-29,MIG-JM-VENTA-29,2025-08-01,2025-08-16,15,64,64,0,Venta origen: 29 | Usuario origen: ALONDRA2025 | Credito abonado origen: 64 | Status origen: 1
credit-note:30,sale:30,2,MIG-JM-CRED-30,MIG-JM-VENTA-30,2025-08-02,2025-08-17,15,87,87,0,Venta origen: 30 | Usuario origen: ALEXA2025 | Credito abonado origen: 87 | Status origen: 1
credit-note:31,sale:31,2,MIG-JM-CRED-31,MIG-JM-VENTA-31,2025-08-04,2025-08-19,15,466,466,0,Venta origen: 31 | Usuario origen: ALONDRA2025 | Credito abonado origen: 466 | Status origen: 1
credit-note:32,sale:32,9,MIG-JM-CRED-32,MIG-JM-VENTA-32,2025-08-05,2025-08-20,15,2980,2980,0,Venta origen: 32 | Usuario origen: ALEXA2025 | Credito abonado origen: 2980 | Status origen: 1
credit-note:33,sale:33,3,MIG-JM-CRED-33,MIG-JM-VENTA-33,2025-08-05,2025-08-20,15,2024,2024,0,Venta origen: 33 | Usuario origen: ALEXA2025 | Credito abonado origen: 2024 | Status origen: 1
credit-note:34,sale:34,8,MIG-JM-CRED-34,MIG-JM-VENTA-34,2025-08-05,2025-08-20,15,7500,7500,0,Venta origen: 34 | Usuario origen: ALONDRA2025 | Credito abonado origen: 7500 | Status origen: 1
credit-note:35,sale:35,11,MIG-JM-CRED-35,MIG-JM-VENTA-35,2025-08-06,2025-08-21,15,100,100,0,Venta origen: 35 | Usuario origen: ALONDRA2025 | Credito abonado origen: 100 | Status origen: 1
credit-note:36,sale:36,7,MIG-JM-CRED-36,MIG-JM-VENTA-36,2025-08-06,2025-09-05,30,1420,1420,0,Venta origen: 36 | Usuario origen: ALEXA2025 | Credito abonado origen: 1420 | Status origen: 1
credit-note:37,sale:37,8,MIG-JM-CRED-37,MIG-JM-VENTA-37,2025-08-07,2025-08-22,15,24630,24630,0,Venta origen: 37 | Usuario origen: ALONDRA2025 | Credito abonado origen: 24630 | Status origen: 1
credit-note:38,sale:38,2,MIG-JM-CRED-38,MIG-JM-VENTA-38,2025-08-07,2025-08-22,15,1150,1150,0,Venta origen: 38 | Usuario origen: ALONDRA2025 | Credito abonado origen: 1150 | Status origen: 0
credit-note:39,sale:39,12,MIG-JM-CRED-39,MIG-JM-VENTA-39,2025-08-07,2025-09-06,30,1150,1150,0,Venta origen: 39 | Usuario origen: ALONDRA2025 | Credito abonado origen: 1150 | Status origen: 1
credit-note:40,sale:40,3,MIG-JM-CRED-40,MIG-JM-VENTA-40,2025-08-08,2025-08-23,15,86,86,0,Venta origen: 40 | Usuario origen: ALEXA2025 | Credito abonado origen: 86 | Status origen: 1
credit-note:41,sale:41,9,MIG-JM-CRED-41,MIG-JM-VENTA-41,2025-08-08,2025-08-23,15,1800,1800,0,Venta origen: 41 | Usuario origen: ALONDRA2025 | Credito abonado origen: 1800 | Status origen: 1
credit-note:42,sale:42,3,MIG-JM-CRED-42,MIG-JM-VENTA-42,2025-08-08,2025-08-23,15,90,90,0,Venta origen: 42 | Usuario origen: ALEXA2025 | Credito abonado origen: 90 | Status origen: 1
credit-note:43,sale:43,3,MIG-JM-CRED-43,MIG-JM-VENTA-43,2025-08-08,2025-08-23,15,120,120,0,Venta origen: 43 | Usuario origen: ALEXA2025 | Credito abonado origen: 120 | Status origen: 1
credit-note:44,sale:44,3,MIG-JM-CRED-44,MIG-JM-VENTA-44,2025-08-08,2025-08-23,15,52,52,0,Venta origen: 44 | Usuario origen: ALEXA2025 | Credito abonado origen: 52 | Status origen: 1
credit-note:45,sale:45,12,MIG-JM-CRED-45,MIG-JM-VENTA-45,2025-08-08,2025-09-07,30,2760,0,2760,Venta origen: 45 | Usuario origen: ALONDRA2025 | Credito abonado origen: 0 | Status origen: 0
credit-note:46,sale:46,12,MIG-JM-CRED-46,MIG-JM-VENTA-46,2025-08-08,2025-09-07,30,1380,1380,0,Venta origen: 46 | Usuario origen: ALONDRA2025 | Credito abonado origen: 1380 | Status origen: 1
credit-note:47,sale:47,13,MIG-JM-CRED-47,MIG-JM-VENTA-47,2025-08-09,2025-08-24,15,4350,4350,0,Venta origen: 47 | Usuario origen: ALEXA2025 | Credito abonado origen: 4350 | Status origen: 1
credit-note:48,sale:48,2,MIG-JM-CRED-48,MIG-JM-VENTA-48,2025-08-09,2025-08-24,15,23,23,0,Venta origen: 48 | Usuario origen: ALEXA2025 | Credito abonado origen: 23 | Status origen: 1
credit-note:49,sale:49,3,MIG-JM-CRED-49,MIG-JM-VENTA-49,2025-08-11,2025-08-26,15,86,86,0,Venta origen: 49 | Usuario origen: ALEXA2025 | Credito abonado origen: 86 | Status origen: 1
credit-note:50,sale:50,10,MIG-JM-CRED-50,MIG-JM-VENTA-50,2025-08-11,2025-08-26,15,556,0,556,Venta origen: 50 | Usuario origen: ALONDRA2025 | Credito abonado origen: 0 | Status origen: 1
credit-note:51,sale:51,12,MIG-JM-CRED-51,MIG-JM-VENTA-51,2025-08-11,2025-09-10,30,1840,1840,0,Venta origen: 51 | Usuario origen: ALEXA2025 | Credito abonado origen: 1840 | Status origen: 1
credit-note:52,sale:52,9,MIG-JM-CRED-52,MIG-JM-VENTA-52,2025-08-12,2025-08-27,15,944,944,0,Venta origen: 52 | Usuario origen: ALEXA2025 | Credito abonado origen: 944 | Status origen: 1
credit-note:53,sale:53,5,MIG-JM-CRED-53,MIG-JM-VENTA-53,2025-08-12,2025-08-27,15,4700,0,4700,Venta origen: 53 | Usuario origen: ALONDRA2025 | Credito abonado origen: 0 | Status origen: 0
credit-note:54,sale:54,10,MIG-JM-CRED-54,MIG-JM-VENTA-54,2025-08-12,2025-08-27,15,892,0,892,Venta origen: 54 | Usuario origen: ALEXA2025 | Credito abonado origen: 0 | Status origen: 1
credit-note:55,sale:55,7,MIG-JM-CRED-55,MIG-JM-VENTA-55,2025-08-12,2025-09-11,30,4700,4700,0,Venta origen: 55 | Usuario origen: ALONDRA2025 | Credito abonado origen: 4700 | Status origen: 1
credit-note:56,sale:56,3,MIG-JM-CRED-56,MIG-JM-VENTA-56,2025-08-12,2025-08-27,15,118,118,0,Venta origen: 56 | Usuario origen: ALEXA2025 | Credito abonado origen: 118 | Status origen: 1
credit-note:57,sale:57,3,MIG-JM-CRED-57,MIG-JM-VENTA-57,2025-08-12,2025-08-27,15,1030,1030,0,Venta origen: 57 | Usuario origen: ALEXA2025 | Credito abonado origen: 1030 | Status origen: 1
credit-note:58,sale:58,2,MIG-JM-CRED-58,MIG-JM-VENTA-58,2025-08-12,2025-08-27,15,5,5,0,Venta origen: 58 | Usuario origen: ALEXA2025 | Credito abonado origen: 5 | Status origen: 1
credit-note:59,sale:59,10,MIG-JM-CRED-59,MIG-JM-VENTA-59,2025-08-13,2025-08-28,15,58,0,58,Venta origen: 59 | Usuario origen: ALONDRA2025 | Credito abonado origen: 0 | Status origen: 1
credit-note:60,sale:60,3,MIG-JM-CRED-60,MIG-JM-VENTA-60,2025-08-13,2025-08-28,15,230,230,0,Venta origen: 60 | Usuario origen: ALONDRA2025 | Credito abonado origen: 230 | Status origen: 1
credit-note:61,sale:61,11,MIG-JM-CRED-61,MIG-JM-VENTA-61,2025-08-14,2025-08-29,15,1604,0,1604,Venta origen: 61 | Usuario origen: ALEXA2025 | Credito abonado origen: 0 | Status origen: 0
credit-note:62,sale:62,11,MIG-JM-CRED-62,MIG-JM-VENTA-62,2025-08-14,2025-08-29,15,1765,1765,0,Venta origen: 62 | Usuario origen: ALEXA2025 | Credito abonado origen: 1765 | Status origen: 1
credit-note:63,sale:63,11,MIG-JM-CRED-63,MIG-JM-VENTA-63,2025-08-14,2025-08-29,15,87.5,87.5,0,Venta origen: 63 | Usuario origen: ALEXA2025 | Credito abonado origen: 87.5 | Status origen: 1
credit-note:64,sale:64,11,MIG-JM-CRED-64,MIG-JM-VENTA-64,2025-08-14,2025-08-29,15,219,219,0,Venta origen: 64 | Usuario origen: ALEXA2025 | Credito abonado origen: 219 | Status origen: 1
credit-note:65,sale:65,12,MIG-JM-CRED-65,MIG-JM-VENTA-65,2025-08-14,2025-09-13,30,2300,2300,0,Venta origen: 65 | Usuario origen: ALONDRA2025 | Credito abonado origen: 2300 | Status origen: 1
credit-note:66,sale:66,8,MIG-JM-CRED-66,MIG-JM-VENTA-66,2025-08-15,2025-08-30,15,13800,13800,0,Venta origen: 66 | Usuario origen: ALONDRA2025 | Credito abonado origen: 13800 | Status origen: 1
credit-note:67,sale:67,2,MIG-JM-CRED-67,MIG-JM-VENTA-67,2025-08-15,2025-08-30,15,4700,4700,0,Venta origen: 67 | Usuario origen: ALEXA2025 | Credito abonado origen: 4700 | Status origen: 1
credit-note:68,sale:68,2,MIG-JM-CRED-68,MIG-JM-VENTA-68,2025-08-15,2025-08-30,15,62.5,62.5,0,Venta origen: 68 | Usuario origen: ALEXA2025 | Credito abonado origen: 62.5 | Status origen: 1
credit-note:69,sale:69,7,MIG-JM-CRED-69,MIG-JM-VENTA-69,2025-08-16,2025-09-15,30,3200,3200,0,Venta origen: 69 | Usuario origen: ALEXA2025 | Credito abonado origen: 3200 | Status origen: 1
credit-note:70,sale:70,2,MIG-JM-CRED-70,MIG-JM-VENTA-70,2025-08-16,2025-08-16,1,230,0,230,Venta origen: 70 | Usuario origen: ALEXA2025 | Credito abonado origen: 0 | Status origen: 1
credit-note:71,sale:71,3,MIG-JM-CRED-71,MIG-JM-VENTA-71,2025-08-16,2025-08-31,15,16,16,0,Venta origen: 71 | Usuario origen: ALEXA2025 | Credito abonado origen: 16 | Status origen: 1
credit-note:72,sale:72,11,MIG-JM-CRED-72,MIG-JM-VENTA-72,2025-08-16,2025-08-31,15,3000,3000,0,Venta origen: 72 | Usuario origen: ALONDRA2025 | Credito abonado origen: 3000 | Status origen: 1
credit-note:73,sale:73,11,MIG-JM-CRED-73,MIG-JM-VENTA-73,2025-08-16,2025-08-31,15,323,323,0,Venta origen: 73 | Usuario origen: ALONDRA2025 | Credito abonado origen: 323 | Status origen: 1
credit-note:74,sale:74,2,MIG-JM-CRED-74,MIG-JM-VENTA-74,2025-08-18,2025-09-02,15,45,45,0,Venta origen: 74 | Usuario origen: ALONDRA2025 | Credito abonado origen: 45 | Status origen: 1
credit-note:75,sale:75,3,MIG-JM-CRED-75,MIG-JM-VENTA-75,2025-08-18,2025-09-02,15,52,52,0,Venta origen: 75 | Usuario origen: ALEXA2025 | Credito abonado origen: 52 | Status origen: 1
credit-note:76,sale:76,12,MIG-JM-CRED-76,MIG-JM-VENTA-76,2025-08-20,2025-09-19,30,2070,2070,0,Venta origen: 76 | Usuario origen: ALONDRA2025 | Credito abonado origen: 2070 | Status origen: 1
credit-note:77,sale:77,11,MIG-JM-CRED-77,MIG-JM-VENTA-77,2025-08-20,2025-09-04,15,380,380,0,Venta origen: 77 | Usuario origen: ALEXA2025 | Credito abonado origen: 380 | Status origen: 1
credit-note:78,sale:78,3,MIG-JM-CRED-78,MIG-JM-VENTA-78,2025-08-20,2025-09-04,15,1030,1030,0,Venta origen: 78 | Usuario origen: ALEXA2025 | Credito abonado origen: 1030 | Status origen: 1
credit-note:79,sale:79,3,MIG-JM-CRED-79,MIG-JM-VENTA-79,2025-08-21,2025-09-05,15,2996,2996,0,Venta origen: 79 | Usuario origen: ALONDRA2025 | Credito abonado origen: 2996 | Status origen: 1
credit-note:80,sale:80,14,MIG-JM-CRED-80,MIG-JM-VENTA-80,2025-08-21,2025-09-05,15,82000,82000,0,Venta origen: 80 | Usuario origen: ALONDRA2025 | Credito abonado origen: 82000 | Status origen: 1
credit-note:81,sale:81,12,MIG-JM-CRED-81,MIG-JM-VENTA-81,2025-08-21,2025-09-20,30,472,472,0,Venta origen: 81 | Usuario origen: ALEXA2025 | Credito abonado origen: 472 | Status origen: 1
credit-note:82,sale:82,3,MIG-JM-CRED-82,MIG-JM-VENTA-82,2025-08-21,2025-09-05,15,192,192,0,Venta origen: 82 | Usuario origen: ALEXA2025 | Credito abonado origen: 192 | Status origen: 1
credit-note:83,sale:83,9,MIG-JM-CRED-83,MIG-JM-VENTA-83,2025-08-21,2025-09-05,15,2390,2390,0,Venta origen: 83 | Usuario origen: ALEXA2025 | Credito abonado origen: 2390 | Status origen: 1
credit-note:84,sale:84,3,MIG-JM-CRED-84,MIG-JM-VENTA-84,2025-08-22,2025-09-06,15,90,90,0,Venta origen: 84 | Usuario origen: ALEXA2025 | Credito abonado origen: 90 | Status origen: 1
credit-note:85,sale:85,2,MIG-JM-CRED-85,MIG-JM-VENTA-85,2025-08-22,2025-09-06,15,472,472,0,Venta origen: 85 | Usuario origen: ALEXA2025 | Credito abonado origen: 472 | Status origen: 1
credit-note:86,sale:86,2,MIG-JM-CRED-86,MIG-JM-VENTA-86,2025-08-22,2025-09-06,15,1,1,0,Venta origen: 86 | Usuario origen: ALONDRA2025 | Credito abonado origen: 1 | Status origen: 1
credit-note:87,sale:87,8,MIG-JM-CRED-87,MIG-JM-VENTA-87,2025-08-22,2025-09-06,15,4200,0,4200,Venta origen: 87 | Usuario origen: ALONDRA2025 | Credito abonado origen: 0 | Status origen: 0
credit-note:88,sale:88,2,MIG-JM-CRED-88,MIG-JM-VENTA-88,2025-08-23,2025-09-07,15,33,33,0,Venta origen: 88 | Usuario origen: ALONDRA2025 | Credito abonado origen: 33 | Status origen: 1
credit-note:89,sale:89,15,MIG-JM-CRED-89,MIG-JM-VENTA-89,2025-08-23,2025-09-07,15,261,261,0,Venta origen: 89 | Usuario origen: ALEXA2025 | Credito abonado origen: 261 | Status origen: 1
credit-note:90,sale:90,7,MIG-JM-CRED-90,MIG-JM-VENTA-90,2025-08-25,2025-09-24,30,9400,9400,0,Venta origen: 90 | Usuario origen: ALONDRA2025 | Credito abonado origen: 9400 | Status origen: 1
credit-note:91,sale:91,3,MIG-JM-CRED-91,MIG-JM-VENTA-91,2025-08-25,2025-09-09,15,28,28,0,Venta origen: 91 | Usuario origen: ALONDRA2025 | Credito abonado origen: 28 | Status origen: 1
credit-note:92,sale:92,2,MIG-JM-CRED-92,MIG-JM-VENTA-92,2025-08-25,2025-09-09,15,270,270,0,Venta origen: 92 | Usuario origen: ALEXA2025 | Credito abonado origen: 270 | Status origen: 1
credit-note:93,sale:93,5,MIG-JM-CRED-93,MIG-JM-VENTA-93,2025-08-25,2025-09-09,15,8300,8300,0,Venta origen: 93 | Usuario origen: ALEXA2025 | Credito abonado origen: 8300 | Status origen: 1
credit-note:94,sale:94,5,MIG-JM-CRED-94,MIG-JM-VENTA-94,2025-08-26,2025-09-10,15,4600,4600,0,Venta origen: 94 | Usuario origen: ALONDRA2025 | Credito abonado origen: 4600 | Status origen: 1
credit-note:95,sale:95,17,MIG-JM-CRED-95,MIG-JM-VENTA-95,2025-08-26,2025-09-10,15,6150,6150,0,Venta origen: 95 | Usuario origen: ALEXA2025 | Credito abonado origen: 6150 | Status origen: 1
credit-note:96,sale:96,17,MIG-JM-CRED-96,MIG-JM-VENTA-96,2025-08-26,2025-09-10,15,1150,1150,0,Venta origen: 96 | Usuario origen: ALEXA2025 | Credito abonado origen: 1150 | Status origen: 1
credit-note:97,sale:97,3,MIG-JM-CRED-97,MIG-JM-VENTA-97,2025-08-26,2025-09-10,15,515,515,0,Venta origen: 97 | Usuario origen: ALEXA2025 | Credito abonado origen: 515 | Status origen: 1
credit-note:98,sale:98,16,MIG-JM-CRED-98,MIG-JM-VENTA-98,2025-08-27,2025-09-26,30,1913.5,0,1913.5,Venta origen: 98 | Usuario origen: ALONDRA2025 | Credito abonado origen: 0 | Status origen: 1
credit-note:99,sale:99,2,MIG-JM-CRED-99,MIG-JM-VENTA-99,2025-08-27,2025-09-11,15,118,118,0,Venta origen: 99 | Usuario origen: ALONDRA2025 | Credito abonado origen: 118 | Status origen: 1
credit-note:100,sale:100,5,MIG-JM-CRED-100,MIG-JM-VENTA-100,2025-08-27,2025-09-11,15,4600,4600,0,Venta origen: 100 | Usuario origen: ALONDRA2025 | Credito abonado origen: 4600 | Status origen: 1
credit-note:101,sale:101,5,MIG-JM-CRED-101,MIG-JM-VENTA-101,2025-08-28,2025-09-12,15,2100,0,2100,Venta origen: 101 | Usuario origen: ALONDRA2025 | Credito abonado origen: 0 | Status origen: 0
credit-note:102,sale:102,5,MIG-JM-CRED-102,MIG-JM-VENTA-102,2025-08-29,2025-09-13,15,4600,4600,0,Venta origen: 102 | Usuario origen: ALEXA2025 | Credito abonado origen: 4600 | Status origen: 1
credit-note:103,sale:103,18,MIG-JM-CRED-103,MIG-JM-VENTA-103,2025-08-29,2025-09-13,15,4600,4600,0,Venta origen: 103 | Usuario origen: ALONDRA2025 | Credito abonado origen: 4600 | Status origen: 1
credit-note:104,sale:104,11,MIG-JM-CRED-104,MIG-JM-VENTA-104,2025-08-29,2025-09-13,15,250,250,0,Venta origen: 104 | Usuario origen: ALEXA2025 | Credito abonado origen: 250 | Status origen: 1
credit-note:105,sale:105,3,MIG-JM-CRED-105,MIG-JM-VENTA-105,2025-08-29,2025-09-13,15,15,0,15,Venta origen: 105 | Usuario origen: ALONDRA2025 | Credito abonado origen: 0 | Status origen: 1
credit-note:106,sale:106,3,MIG-JM-CRED-106,MIG-JM-VENTA-106,2025-08-29,2025-09-13,15,10,10,0,Venta origen: 106 | Usuario origen: ALONDRA2025 | Credito abonado origen: 10 | Status origen: 1
credit-note:107,sale:107,5,MIG-JM-CRED-107,MIG-JM-VENTA-107,2025-08-29,2025-09-13,15,900,900,0,Venta origen: 107 | Usuario origen: ALEXA2025 | Credito abonado origen: 900 | Status origen: 1
credit-note:108,sale:108,5,MIG-JM-CRED-108,MIG-JM-VENTA-108,2025-09-01,2025-09-16,15,8300,8300,0,Venta origen: 108 | Usuario origen: ALEXA2025 | Credito abonado origen: 8300 | Status origen: 1
credit-note:109,sale:109,18,MIG-JM-CRED-109,MIG-JM-VENTA-109,2025-09-01,2025-09-16,15,8294,8294,0,Venta origen: 109 | Usuario origen: ALEXA2025 | Credito abonado origen: 8294 | Status origen: 1
credit-note:110,sale:110,3,MIG-JM-CRED-110,MIG-JM-VENTA-110,2025-09-01,2025-09-16,15,515,515,0,Venta origen: 110 | Usuario origen: ALONDRA2025 | Credito abonado origen: 515 | Status origen: 1
credit-note:111,sale:111,5,MIG-JM-CRED-111,MIG-JM-VENTA-111,2025-09-03,2025-09-18,15,4600,4600,0,Venta origen: 111 | Usuario origen: ALONDRA2025 | Credito abonado origen: 4600 | Status origen: 1
credit-note:112,sale:112,2,MIG-JM-CRED-112,MIG-JM-VENTA-112,2025-09-03,2025-09-18,15,1175,1175,0,Venta origen: 112 | Usuario origen: ALEXA2025 | Credito abonado origen: 1175 | Status origen: 1
credit-note:113,sale:113,3,MIG-JM-CRED-113,MIG-JM-VENTA-113,2025-09-03,2025-09-18,15,98,98,0,Venta origen: 113 | Usuario origen: ALEXA2025 | Credito abonado origen: 98 | Status origen: 1
credit-note:114,sale:114,2,MIG-JM-CRED-114,MIG-JM-VENTA-114,2025-09-03,2025-09-18,15,1400,1400,0,Venta origen: 114 | Usuario origen: ALONDRA2025 | Credito abonado origen: 1400 | Status origen: 0
credit-note:115,sale:115,2,MIG-JM-CRED-115,MIG-JM-VENTA-115,2025-09-03,2025-09-18,15,1175,1175,0,Venta origen: 115 | Usuario origen: ALONDRA2025 | Credito abonado origen: 1175 | Status origen: 1
credit-note:116,sale:116,3,MIG-JM-CRED-116,MIG-JM-VENTA-116,2025-09-03,2025-09-18,15,9,9,0,Venta origen: 116 | Usuario origen: ALEXA2025 | Credito abonado origen: 9 | Status origen: 1
credit-note:117,sale:117,5,MIG-JM-CRED-117,MIG-JM-VENTA-117,2025-09-04,2025-09-19,15,4200,4200,0,Venta origen: 117 | Usuario origen: ALONDRA2025 | Credito abonado origen: 4200 | Status origen: 1
credit-note:118,sale:118,3,MIG-JM-CRED-118,MIG-JM-VENTA-118,2025-09-04,2025-09-19,15,1.5,1.5,0,Venta origen: 118 | Usuario origen: ALEXA2025 | Credito abonado origen: 1.5 | Status origen: 1
credit-note:119,sale:119,2,MIG-JM-CRED-119,MIG-JM-VENTA-119,2025-09-04,2025-09-19,15,284,284,0,Venta origen: 119 | Usuario origen: ALEXA2025 | Credito abonado origen: 284 | Status origen: 1
credit-note:120,sale:120,3,MIG-JM-CRED-120,MIG-JM-VENTA-120,2025-09-04,2025-09-19,15,1194,1194,0,Venta origen: 120 | Usuario origen: ALEXA2025 | Credito abonado origen: 1194 | Status origen: 1
credit-note:121,sale:121,3,MIG-JM-CRED-121,MIG-JM-VENTA-121,2025-09-04,2025-09-19,15,49,49,0,Venta origen: 121 | Usuario origen: ALEXA2025 | Credito abonado origen: 49 | Status origen: 1
credit-note:122,sale:122,19,MIG-JM-CRED-122,MIG-JM-VENTA-122,2025-09-05,2025-09-20,15,1450,1450,0,Venta origen: 122 | Usuario origen: ALEXA2025 | Credito abonado origen: 1450 | Status origen: 1
