legacy_id,branch_legacy_id,customer_legacy_id,payment_method,price_type,subtotal,discount_amount,total,delivery_address,notes,created_by,created_at,deleted_at,delete_note,coupon_code,wallet_used,credit_used,cash_received,payment_type_audit,split_payment_method,split_payment_amount
22,branch:default,8,EFECTIVO,MENUDEO,13800,0,13800,CURCERO DEL JOSEFINNO,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 13800 | Fecha limite origen: 2025-08-14 | Dias restantes origen: 15 | Status origen: 1,,2025-07-30 21:19:11,,,,0,0,13800,[],,0
23,branch:default,10,EFECTIVO,MENUDEO,72,0,72,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 72 | Fecha limite origen: 2025-08-15 | Dias restantes origen: 15 | Status origen: 1,,2025-07-31 16:09:53,,,,0,0,72,[],,0
24,branch:default,11,EFECTIVO,MENUDEO,2750,0,2750,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 2750 | Dias restantes origen: 0 | Status origen: 1,,2025-07-31 18:28:02,,,,0,0,2750,[],,0
25,branch:default,11,EFECTIVO,MENUDEO,230,0,230,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 230 | Dias restantes origen: 0 | Status origen: 1,,2025-07-31 18:37:55,,,,0,0,230,[],,0
26,branch:default,8,EFECTIVO,MENUDEO,7000,0,7000,LAS LAGUNAS,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 7000 | Fecha limite origen: 2025-08-16 | Dias restantes origen: 15 | Status origen: 1,,2025-08-01 14:11:56,,,,0,0,7000,[],,0
27,branch:default,8,EFECTIVO,MENUDEO,283,0,283,LAS LAGUNAS,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 283 | Fecha limite origen: 2025-08-16 | Dias restantes origen: 15 | Status origen: 1,,2025-08-01 14:20:56,,,,0,0,283,[],,0
28,branch:default,10,EFECTIVO,MENUDEO,7,0,7,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 7 | Fecha limite origen: 2025-08-16 | Dias restantes origen: 15 | Status origen: 1,,2025-08-01 18:37:53,,,,0,0,7,[],,0
29,branch:default,3,EFECTIVO,MENUDEO,64,0,64,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 64 | Fecha limite origen: 2025-08-16 | Dias restantes origen: 15 | Status origen: 1,,2025-08-01 20:10:46,,,,0,0,64,[],,0
30,branch:default,2,EFECTIVO,MENUDEO,87,0,87,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 87 | Dias restantes origen: 0 | Status origen: 1,,2025-08-02 14:47:16,,,,0,0,87,[],,0
31,branch:default,2,EFECTIVO,MENUDEO,466,0,466,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 466 | Dias restantes origen: 0 | Status origen: 1,,2025-08-04 22:04:16,,,,0,0,466,[],,0
32,branch:default,9,EFECTIVO,MENUDEO,2980,0,2980,EL ROBLE,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 2980 | Fecha limite origen: 2025-08-20 | Dias restantes origen: 15 | Status origen: 1,,2025-08-05 14:19:57,,,,0,0,2980,[],,0
33,branch:default,3,EFECTIVO,MENUDEO,2024,0,2024,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 2024 | Fecha limite origen: 2025-08-20 | Dias restantes origen: 15 | Status origen: 1,,2025-08-05 18:10:38,,,,0,0,2024,[],,0
34,branch:default,8,EFECTIVO,MENUDEO,7500,0,7500,LAS LAGUNAS,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 7500 | Fecha limite origen: 2025-08-20 | Dias restantes origen: 15 | Status origen: 1,,2025-08-05 18:18:33,,,,0,0,7500,[],,0
35,branch:default,11,EFECTIVO,MENUDEO,100,0,100,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 100 | Dias restantes origen: 0 | Status origen: 1,,2025-08-06 15:18:44,,,,0,0,100,[],,0
36,branch:default,7,EFECTIVO,MENUDEO,1420,0,1420,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 1420 | Fecha limite origen: 2025-09-05 | Dias restantes origen: 30 | Status origen: 1,,2025-08-06 20:24:14,,,,0,0,1420,[],,0
37,branch:default,8,EFECTIVO,MENUDEO,24630,0,24630,LAS LAGUNAS,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 24630 | Fecha limite origen: 2025-08-22 | Dias restantes origen: 15 | Status origen: 1,,2025-08-07 14:19:38,,,,0,0,24630,[],,0
38,branch:default,2,EFECTIVO,MENUDEO,1150,0,1150,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 1150 | Dias restantes origen: 0 | Status origen: 0,,2025-08-07 19:31:15,,,,0,0,1150,[],,0
39,branch:default,12,EFECTIVO,MENUDEO,1150,0,1150,AYOTLAN,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 1150 | Fecha limite origen: 2025-09-06 | Dias restantes origen: 30 | Status origen: 1,,2025-08-07 19:43:10,,,,0,0,1150,[],,0
40,branch:default,3,EFECTIVO,MENUDEO,86,0,86,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 86 | Fecha limite origen: 2025-08-23 | Dias restantes origen: 15 | Status origen: 1,,2025-08-08 18:02:02,,,,0,0,86,[],,0
41,branch:default,9,EFECTIVO,MENUDEO,1800,0,1800,EL ROBLE,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 1800 | Fecha limite origen: 2025-08-23 | Dias restantes origen: 15 | Status origen: 1,,2025-08-08 18:03:38,,,,0,0,1800,[],,0
42,branch:default,3,EFECTIVO,MENUDEO,90,0,90,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 90 | Fecha limite origen: 2025-08-23 | Dias restantes origen: 15 | Status origen: 1,,2025-08-08 19:14:24,,,,0,0,90,[],,0
43,branch:default,3,EFECTIVO,MENUDEO,120,0,120,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 120 | Fecha limite origen: 2025-08-23 | Dias restantes origen: 15 | Status origen: 1,,2025-08-08 19:26:42,,,,0,0,120,[],,0
44,branch:default,3,EFECTIVO,MENUDEO,52,0,52,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 52 | Fecha limite origen: 2025-08-23 | Dias restantes origen: 15 | Status origen: 1,,2025-08-08 20:58:15,,,,0,0,52,[],,0
45,branch:default,12,CREDITO,MENUDEO,2760,0,2760,SAN RAFAEL,Usuario origen: ALONDRA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Fecha limite origen: 2025-09-07 | Dias restantes origen: 30 | Status origen: 0,,2025-08-08 21:15:59,,,,0,2760,0,[],,0
46,branch:default,12,EFECTIVO,MENUDEO,1380,0,1380,SAN RAFEL,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 1380 | Fecha limite origen: 2025-09-07 | Dias restantes origen: 30 | Status origen: 1,,2025-08-08 21:23:27,,,,0,0,1380,[],,0
47,branch:default,13,EFECTIVO,MENUDEO,4350,0,4350,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 4350 | Fecha limite origen: 2025-08-24 | Dias restantes origen: 15 | Status origen: 1,,2025-08-09 15:38:13,,,,0,0,4350,[],,0
48,branch:default,2,EFECTIVO,MENUDEO,23,0,23,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 23 | Dias restantes origen: 0 | Status origen: 1,,2025-08-09 16:03:52,,,,0,0,23,[],,0
49,branch:default,3,EFECTIVO,MENUDEO,86,0,86,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 86 | Fecha limite origen: 2025-08-26 | Dias restantes origen: 15 | Status origen: 1,,2025-08-11 15:04:17,,,,0,0,86,[],,0
50,branch:default,10,CREDITO,MENUDEO,556,0,556,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Fecha limite origen: 2025-08-26 | Dias restantes origen: 15 | Status origen: 1,,2025-08-11 15:07:48,,,,0,556,0,[],,0
51,branch:default,12,EFECTIVO,MENUDEO,1840,0,1840,SAN RAFAEL,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 1840 | Fecha limite origen: 2025-09-10 | Dias restantes origen: 30 | Status origen: 1,,2025-08-11 22:53:13,,,,0,0,1840,[],,0
52,branch:default,9,EFECTIVO,MENUDEO,944,0,944,EL ROBLE,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 944 | Fecha limite origen: 2025-08-27 | Dias restantes origen: 15 | Status origen: 1,,2025-08-12 13:44:19,,,,0,0,944,[],,0
53,branch:default,5,CREDITO,MENUDEO,4700,0,4700,LAS CANOAS,Usuario origen: ALONDRA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Fecha limite origen: 2025-08-27 | Dias restantes origen: 15 | Status origen: 0,,2025-08-12 14:26:05,,,,0,4700,0,[],,0
54,branch:default,10,CREDITO,MENUDEO,892,0,892,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Fecha limite origen: 2025-08-27 | Dias restantes origen: 15 | Status origen: 1,,2025-08-12 14:48:55,,,,0,892,0,[],,0
55,branch:default,7,EFECTIVO,MENUDEO,4700,0,4700,LAS CANOAS,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 4700 | Fecha limite origen: 2025-09-11 | Dias restantes origen: 30 | Status origen: 1,,2025-08-12 14:50:51,,,,0,0,4700,[],,0
56,branch:default,3,EFECTIVO,MENUDEO,118,0,118,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 118 | Fecha limite origen: 2025-08-27 | Dias restantes origen: 15 | Status origen: 1,,2025-08-12 15:53:13,,,,0,0,118,[],,0
57,branch:default,3,EFECTIVO,MENUDEO,1030,0,1030,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 1030 | Fecha limite origen: 2025-08-27 | Dias restantes origen: 15 | Status origen: 1,,2025-08-12 17:33:38,,,,0,0,1030,[],,0
58,branch:default,2,EFECTIVO,MENUDEO,5,0,5,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 5 | Dias restantes origen: 0 | Status origen: 1,,2025-08-12 18:44:11,,,,0,0,5,[],,0
59,branch:default,10,CREDITO,MENUDEO,58,0,58,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Fecha limite origen: 2025-08-28 | Dias restantes origen: 15 | Status origen: 1,,2025-08-13 17:57:49,,,,0,58,0,[],,0
60,branch:default,3,EFECTIVO,MENUDEO,230,0,230,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 230 | Fecha limite origen: 2025-08-28 | Dias restantes origen: 15 | Status origen: 1,,2025-08-13 18:59:05,,,,0,0,230,[],,0
61,branch:default,11,CREDITO,MENUDEO,1604,0,1604,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Fecha limite origen: 2025-08-29 | Dias restantes origen: 15 | Status origen: 0,,2025-08-14 18:07:05,,,,0,1604,0,[],,0
62,branch:default,11,EFECTIVO,MENUDEO,1765,0,1765,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 1765 | Fecha limite origen: 2025-08-29 | Dias restantes origen: 15 | Status origen: 1,,2025-08-14 18:16:11,,,,0,0,1765,[],,0
63,branch:default,11,EFECTIVO,MENUDEO,87.5,0,87.5,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 87.5 | Fecha limite origen: 2025-08-29 | Dias restantes origen: 15 | Status origen: 1,,2025-08-14 18:23:14,,,,0,0,87.5,[],,0
64,branch:default,11,EFECTIVO,MENUDEO,219,0,219,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 219 | Fecha limite origen: 2025-08-29 | Dias restantes origen: 15 | Status origen: 1,,2025-08-14 18:28:39,,,,0,0,219,[],,0
65,branch:default,12,EFECTIVO,MENUDEO,2300,0,2300,SAN RAFAEL,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 2300 | Fecha limite origen: 2025-09-13 | Dias restantes origen: 30 | Status origen: 1,,2025-08-14 20:27:02,,,,0,0,2300,[],,0
66,branch:default,8,EFECTIVO,MENUDEO,13800,0,13800,LAS LAGUNAS,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 13800 | Fecha limite origen: 2025-08-30 | Dias restantes origen: 15 | Status origen: 1,,2025-08-15 14:34:35,,,,0,0,13800,[],,0
67,branch:default,2,EFECTIVO,MENUDEO,4700,0,4700,NUEVO LEON(CALLE DEL TIANGUIS),Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 4700 | Dias restantes origen: 0 | Status origen: 1,,2025-08-15 18:06:08,,,,0,0,4700,[],,0
68,branch:default,2,EFECTIVO,MENUDEO,62.5,0,62.5,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 62.5 | Dias restantes origen: 0 | Status origen: 1,,2025-08-15 20:25:45,,,,0,0,62.5,[],,0
69,branch:default,7,EFECTIVO,MENUDEO,3200,0,3200,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 3200 | Fecha limite origen: 2025-09-15 | Dias restantes origen: 30 | Status origen: 1,,2025-08-16 15:32:44,,,,0,0,3200,[],,0
70,branch:default,2,CREDITO,MENUDEO,230,0,230,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Fecha limite origen: 2025-08-16 | Dias restantes origen: 0 | Status origen: 1,,2025-08-16 17:11:11,,,,0,230,0,[],,0
71,branch:default,3,EFECTIVO,MENUDEO,16,0,16,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 16 | Fecha limite origen: 2025-08-31 | Dias restantes origen: 15 | Status origen: 1,,2025-08-16 19:10:30,,,,0,0,16,[],,0
72,branch:default,11,EFECTIVO,MENUDEO,3000,0,3000,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 3000 | Fecha limite origen: 2025-08-31 | Dias restantes origen: 15 | Status origen: 1,,2025-08-16 19:40:53,,,,0,0,3000,[],,0
73,branch:default,11,EFECTIVO,MENUDEO,323,0,323,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 323 | Dias restantes origen: 0 | Status origen: 1,,2025-08-16 19:45:06,,,,0,0,323,[],,0
74,branch:default,2,EFECTIVO,MENUDEO,45,0,45,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 45 | Dias restantes origen: 0 | Status origen: 1,,2025-08-18 14:56:20,,,,0,0,45,[],,0
75,branch:default,3,EFECTIVO,MENUDEO,52,0,52,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 52 | Fecha limite origen: 2025-09-02 | Dias restantes origen: 15 | Status origen: 1,,2025-08-18 15:56:06,,,,0,0,52,[],,0
76,branch:default,12,EFECTIVO,MENUDEO,2070,0,2070,SAN RAFAEL,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 2070 | Fecha limite origen: 2025-09-19 | Dias restantes origen: 30 | Status origen: 1,,2025-08-20 15:57:44,,,,0,0,2070,[],,0
77,branch:default,11,EFECTIVO,MENUDEO,380,0,380,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 380 | Dias restantes origen: 0 | Status origen: 1,,2025-08-20 16:01:01,,,,0,0,380,[],,0
78,branch:default,3,EFECTIVO,MENUDEO,1030,0,1030,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 1030 | Fecha limite origen: 2025-09-04 | Dias restantes origen: 15 | Status origen: 1,,2025-08-20 19:21:39,,,,0,0,1030,[],,0
79,branch:default,3,EFECTIVO,MENUDEO,2996,0,2996,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 2996 | Fecha limite origen: 2025-09-05 | Dias restantes origen: 15 | Status origen: 1,,2025-08-21 14:58:28,,,,0,0,2996,[],,0
80,branch:default,14,EFECTIVO,MENUDEO,82000,0,82000,ARANDAS,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 82000 | Fecha limite origen: 2025-09-05 | Dias restantes origen: 15 | Status origen: 1,,2025-08-21 15:32:02,,,,0,0,82000,[],,0
81,branch:default,12,EFECTIVO,MENUDEO,472,0,472,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 472 | Fecha limite origen: 2025-09-20 | Dias restantes origen: 30 | Status origen: 1,,2025-08-21 20:39:29,,,,0,0,472,[],,0
82,branch:default,3,EFECTIVO,MENUDEO,192,0,192,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 192 | Fecha limite origen: 2025-09-05 | Dias restantes origen: 15 | Status origen: 1,,2025-08-21 21:14:06,,,,0,0,192,[],,0
83,branch:default,9,EFECTIVO,MENUDEO,2390,0,2390,EL ROBLE,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 2390 | Fecha limite origen: 2025-09-05 | Dias restantes origen: 15 | Status origen: 1,,2025-08-21 21:52:28,,,,0,0,2390,[],,0
84,branch:default,3,EFECTIVO,MENUDEO,90,0,90,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 90 | Fecha limite origen: 2025-09-06 | Dias restantes origen: 15 | Status origen: 1,,2025-08-22 16:09:58,,,,0,0,90,[],,0
85,branch:default,2,EFECTIVO,MENUDEO,472,0,472,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 472 | Dias restantes origen: 0 | Status origen: 1,,2025-08-22 20:33:53,,,,0,0,472,[],,0
86,branch:default,2,EFECTIVO,MENUDEO,1,0,1,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 1 | Dias restantes origen: 0 | Status origen: 1,,2025-08-22 20:39:51,,,,0,0,1,[],,0
87,branch:default,8,CREDITO,MENUDEO,4200,0,4200,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 0 | Credito abonado origen: 0 | Fecha limite origen: 2025-09-06 | Dias restantes origen: 15 | Status origen: 0,,2025-08-22 22:53:27,,,,0,4200,0,[],,0
88,branch:default,2,EFECTIVO,MENUDEO,33,0,33,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 33 | Dias restantes origen: 0 | Status origen: 1,,2025-08-23 17:48:17,,,,0,0,33,[],,0
89,branch:default,15,EFECTIVO,MENUDEO,261,0,261,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 261 | Fecha limite origen: 2025-09-07 | Dias restantes origen: 15 | Status origen: 1,,2025-08-23 19:38:29,,,,0,0,261,[],,0
90,branch:default,7,EFECTIVO,MENUDEO,9400,0,9400,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 9400 | Fecha limite origen: 2025-09-24 | Dias restantes origen: 30 | Status origen: 1,,2025-08-25 14:06:56,,,,0,0,9400,[],,0
91,branch:default,3,EFECTIVO,MENUDEO,28,0,28,jesus maria,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 28 | Fecha limite origen: 2025-09-09 | Dias restantes origen: 15 | Status origen: 1,,2025-08-25 19:14:26,,,,0,0,28,[],,0
92,branch:default,2,EFECTIVO,MENUDEO,270,0,270,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 270 | Dias restantes origen: 0 | Status origen: 1,,2025-08-25 19:14:32,,,,0,0,270,[],,0
93,branch:default,5,EFECTIVO,MENUDEO,8300,0,8300,CEN COMER,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 8300 | Fecha limite origen: 2025-09-09 | Dias restantes origen: 15 | Status origen: 1,,2025-08-25 20:47:30,,,,0,0,8300,[],,0
94,branch:default,5,EFECTIVO,MENUDEO,4600,0,4600,JESUS MARIA,Usuario origen: ALONDRA2025 | Liquidado origen: 1 | Credito abonado origen: 4600 | Fecha limite origen: 2025-09-10 | Dias restantes origen: 15 | Status origen: 1,,2025-08-26 14:24:45,,,,0,0,4600,[],,0
95,branch:default,17,EFECTIVO,MENUDEO,6150,0,6150,JESUS MARIA,Usuario origen: ALEXA2025 | Liquidado origen: 1 | Credito abonado origen: 6150 | Dias restantes origen: 0 | Status origen: 1,,2025-08-26 19:17:36,,,,0,0,6150,[],,0
